epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.6091009378433228,0.20043590664863586,3:30:39.351727,0.5596847174991979,0.15440571838866796,0.1428572130393168,0.20450743718119122,0.43124019945772973,0.4352907500271063,0.004301995064875648,0.004348141303735407,0.10794266945356823,0.14063899671543745,0:31:25.433520
2,1.6078460216522217,0.2383268028497696,3:30:42.476131,0.5803499727859388,0.16734815600275213,0.1634204795623099,0.21979092598557562,0.4278919285088203,0.43746622805463403,0.004263985874388615,0.004362274257899487,0.10316512391758734,0.1385488205434458,0:26:54.513857
3,1.6066257953643799,0.2628144323825836,3:30:40.120704,0.586935830165629,0.17269691402390727,0.16746834296180563,0.2292343466119909,0.4277271878983801,0.43723894623919596,0.004268324787892074,0.004360343463022096,0.09928336816960287,0.13630934607345477,0:26:43.754721
4,1.6053637266159058,0.276045560836792,3:30:41.432466,0.5903101026362642,0.1774810133352728,0.17039701782725689,0.23472898236593243,0.4263618881712383,0.43656021526211664,0.004256967769481529,0.004353248639563397,0.0961481039116154,0.13466706479546134,0:26:58.614492
5,1.6040822267532349,0.2836652994155884,3:30:44.323284,0.5951276330083936,0.17965079299258382,0.17131851059485279,0.2375638677048786,0.42415387141998107,0.43550417472875413,0.00423921076694343,0.004344204929276678,0.09420722603762317,0.1328754852194685,0:27:09.539966
6,1.6027241945266724,0.28896525502204895,3:30:45.354902,0.599893390712296,0.1850350952391698,0.17837423083674606,0.24170979336930123,0.42255029414883977,0.4342751144041116,0.004224823405930745,0.004332642465776486,0.09435652433562257,0.13108390564347566,0:27:07.818319
7,1.60127854347229,0.2932039499282837,3:30:44.029166,0.6039885924150298,0.1931525328877728,0.18572469863062235,0.24884561853737414,0.4210778387353951,0.43369622449470674,0.004209846904269905,0.00432438327206773,0.09301283965362794,0.13093460734547627,0:27:24.262704
8,1.5997191667556763,0.2965315282344818,3:30:37.756279,0.6059002827881207,0.19924580053310406,0.1895707831917162,0.25442302735916555,0.4193642609239203,0.4331306481382433,0.004193878096929576,0.004317992269777807,0.09271424305762914,0.13048671245147805,0:27:10.557193
9,1.5980223417282104,0.2991707921028137,3:30:35.959944,0.6093632973734219,0.20129875670555153,0.1914014483890663,0.25839955348331306,0.41692455211259294,0.4320388507494955,0.00417100548685206,0.004306190848206449,0.09137055837563451,0.12974022096148105,0:27:14.101128
10,1.596085548400879,0.30189594626426697,3:30:38.118489,0.6111415006242952,0.20401969942869336,0.19342400208672528,0.2612054721808507,0.41612983388017877,0.4313775828047255,0.004159344850577767,0.004300806261633359,0.09032547028963869,0.12914302776948342,0:28:32.625865
